game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,carries,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,receiving_broken_tackles
2024_01_BAL_KC,202409050kan,2024,1,REG,KC,BAL,Isiah Pacheco,PachIs00,15,18,1.2,27,1.8,0,
2024_01_BAL_KC,202409050kan,2024,1,REG,KC,BAL,Patrick Mahomes,MahoPa00,2,2,1,1,0.5,0,
2024_01_BAL_KC,202409050kan,2024,1,REG,KC,BAL,Carson Steele,SteeCa00,2,0,0,3,1.5,0,
2024_01_BAL_KC,202409050kan,2024,1,REG,KC,BAL,Xavier Worthy,WortXa00,1,17,17,4,4,0,
2024_01_BAL_KC,202409050kan,2024,1,REG,BAL,KC,Lamar Jackson,JackLa00,16,87,5.4,35,2.2,3,
2024_01_BAL_KC,202409050kan,2024,1,REG,BAL,KC,Derrick Henry,HenrDe00,13,18,1.4,28,2.2,2,
2024_01_BAL_KC,202409050kan,2024,1,REG,BAL,KC,Zay Flowers,FlowZa00,2,7,3.5,7,3.5,1,
2024_01_BAL_KC,202409050kan,2024,1,REG,BAL,KC,Justice Hill,HillJu00,1,3,3,0,0,0,
2024_01_GB_PHI,202409060phi,2024,1,REG,PHI,GB,Saquon Barkley,BarkSa00,24,78,3.3,31,1.3,0,
2024_01_GB_PHI,202409060phi,2024,1,REG,PHI,GB,Jalen Hurts,HurtJa00,13,17,1.3,16,1.2,1,
2024_01_GB_PHI,202409060phi,2024,1,REG,PHI,GB,Kenneth Gainwell,GainKe00,1,0,0,2,2,0,
2024_01_GB_PHI,202409060phi,2024,1,REG,GB,PHI,Josh Jacobs,JacoJo01,16,43,2.7,41,2.6,2,
2024_01_GB_PHI,202409060phi,2024,1,REG,GB,PHI,Emanuel Wilson,WilsEm00,4,28,7,18,4.5,1,
2024_01_GB_PHI,202409060phi,2024,1,REG,GB,PHI,Jayden Reed,ReedJa03,1,10,10,23,23,1,
2024_01_PIT_ATL,202409080atl,2024,1,REG,ATL,PIT,Bijan Robinson,RobiBi01,18,18,1,50,2.8,4,
2024_01_PIT_ATL,202409080atl,2024,1,REG,ATL,PIT,Tyler Allgeier,AllgTy00,3,10,3.3,11,3.7,0,
2024_01_PIT_ATL,202409080atl,2024,1,REG,ATL,PIT,Kirk Cousins,CousKi00,1,0,0,0,0,0,
2024_01_PIT_ATL,202409080atl,2024,1,REG,PIT,ATL,Najee Harris,HarrNa00,20,22,1.1,48,2.4,2,
2024_01_PIT_ATL,202409080atl,2024,1,REG,PIT,ATL,Justin Fields,FielJu00,14,20,1.4,37,2.6,1,
2024_01_PIT_ATL,202409080atl,2024,1,REG,PIT,ATL,Cordarrelle Patterson,PattCo00,4,3,0.8,10,2.5,0,
2024_01_PIT_ATL,202409080atl,2024,1,REG,PIT,ATL,Jaylen Warren,WarrJa01,2,2,1,5,2.5,0,
2024_01_PIT_ATL,202409080atl,2024,1,REG,PIT,ATL,George Pickens,PickGe00,1,-10,-10,0,0,0,
2024_01_ARI_BUF,202409080buf,2024,1,REG,BUF,ARI,James Cook,CookJa01,19,40,2.1,31,1.6,1,
2024_01_ARI_BUF,202409080buf,2024,1,REG,BUF,ARI,Josh Allen,AlleJo02,9,28,3.1,11,1.2,0,
2024_01_ARI_BUF,202409080buf,2024,1,REG,BUF,ARI,Ray Davis,DaviRa04,3,5,1.7,8,2.7,0,
2024_01_ARI_BUF,202409080buf,2024,1,REG,BUF,ARI,Ty Johnson,JohnTy02,2,4,2,3,1.5,0,
2024_01_ARI_BUF,202409080buf,2024,1,REG,ARI,BUF,James Conner,ConnJa00,16,27,1.7,23,1.4,0,
2024_01_ARI_BUF,202409080buf,2024,1,REG,ARI,BUF,Kyler Murray,MurrKy00,5,38,7.6,19,3.8,0,
2024_01_ARI_BUF,202409080buf,2024,1,REG,ARI,BUF,Trey Benson,BensTr01,3,6,2,7,2.3,0,
2024_01_ARI_BUF,202409080buf,2024,1,REG,ARI,BUF,Greg Dortch,DortGr01,1,3,3,1,1,0,
2024_01_TEN_CHI,202409080chi,2024,1,REG,CHI,TEN,D'Andre Swift,SwifDA00,10,17,1.7,13,1.3,0,
2024_01_TEN_CHI,202409080chi,2024,1,REG,CHI,TEN,Caleb Williams,WillCa03,5,12,2.4,3,0.6,0,
2024_01_TEN_CHI,202409080chi,2024,1,REG,CHI,TEN,Khalil Herbert,HerbKh00,2,1,0.5,3,1.5,0,
2024_01_TEN_CHI,202409080chi,2024,1,REG,CHI,TEN,Travis Homer,HomeTr00,2,8,4,2,1,0,
2024_01_TEN_CHI,202409080chi,2024,1,REG,CHI,TEN,Velus Jones Jr.,JoneVe00,2,6,3,5,2.5,0,
2024_01_TEN_CHI,202409080chi,2024,1,REG,CHI,TEN,D.J. Moore,MoorD.00,1,14,14,0,0,0,
2024_01_TEN_CHI,202409080chi,2024,1,REG,TEN,CHI,Tony Pollard,PollTo00,16,44,2.8,38,2.4,3,
2024_01_TEN_CHI,202409080chi,2024,1,REG,TEN,CHI,Will Levis,LeviWi00,4,22,5.5,14,3.5,1,
2024_01_TEN_CHI,202409080chi,2024,1,REG,TEN,CHI,Tyjae Spears,SpeaTy00,4,10,2.5,11,2.8,0,
2024_01_TEN_CHI,202409080chi,2024,1,REG,TEN,CHI,Treylon Burks,BurkTr00,2,-5,-2.5,6,3,1,
2024_01_NE_CIN,202409080cin,2024,1,REG,CIN,NE,Zack Moss,MossZa00,9,27,3,17,1.9,0,
2024_01_NE_CIN,202409080cin,2024,1,REG,CIN,NE,Joe Burrow,BurrJo01,4,13,3.3,2,0.5,0,
2024_01_NE_CIN,202409080cin,2024,1,REG,CIN,NE,Chase Brown,BrowCh10,3,7,2.3,4,1.3,1,
